rank,title,excerpt,heat,url,answer_count,follower_count
1,香港金管局就内地投资账户新增监管措施，开户倒查至 2023 年、新增投资资金不得来自内地，如何解读？,,1725 万热度,https://www.zhihu.com/question/2043072357921546874,0,0
2,南部战区回应荷兰军舰侵闯中国西沙群岛，依法依规采取必要措施予以外逼驱离，如何看待此次事件？,,511 万热度,https://www.zhihu.com/question/2043071472072123195,0,0
3,为什么「你妈妈不喜欢你」对外国人杀伤力那么大?,,386 万热度,https://www.zhihu.com/question/1916372096931575252,0,0
4,如何评价刘强东称不会开除被机器人取代的员工，已启动项目帮助蓝领工人白领化？真能做到吗？能在业内推广吗？,,265 万热度,https://www.zhihu.com/question/2043061551347622195,0,0
5,曝红果短剧收益断崖式下跌，万播收益从百元级骤降至 5-10 元，背后原因有哪些？透露了行业哪些问题？,,237 万热度,https://www.zhihu.com/question/2041447752677200286,0,0
6,稻城亚丁景区强制省道收费后称「员工失误」，此举合法吗？,,217 万热度,https://www.zhihu.com/question/2042634299527140707,0,0
7,为什么二、两、双不能混用，明明都是 2 的意思？,,195 万热度,https://www.zhihu.com/question/2020170888755041113,0,0
8,如何看待「耿同学打假」得到新华社报道？,,183 万热度,https://www.zhihu.com/question/2042616662931895750,0,0
9,星巴克确认全国 400 多家门店将开始卖衣服，包括马甲 T 恤等，为啥星巴克要开始卖服装？前景怎么样？,,178 万热度,https://www.zhihu.com/question/2042286452512223247,0,0
10,虽然我玩手机玩的都恶心了，但我就是不想写作业，怎么办？,,175 万热度,https://www.zhihu.com/question/368308943,0,0
11,如何看待 Uzi 回应「给老婆买 180 万项链」称「生两孩送个项链怎么了」，没哭穷，办 Uzi 杯是为赚钱养家？,,174 万热度,https://www.zhihu.com/question/2041684405639444059,0,0
12,为什么中国纺织大学是改名最失败的高校呢？,,172 万热度,https://www.zhihu.com/question/1889705980960421500,0,0
13,小米 Q1 新车交付超 8 万台，智能手机出货量连续 23 个季度稳居全球前三，如何评价其业绩表现？,,167 万热度,https://www.zhihu.com/question/2042664108592517790,0,0
14,张雪机车电摩电机实现 50 千瓦顶级功率输出，这意味着什么？,,159 万热度,https://www.zhihu.com/question/2042924043733579676,0,0
15,河南发生一超载客车追尾货车事故，致 13 死 3 伤，公安部派工作组指导调查处置工作，具体情况如何？,,158 万热度,https://www.zhihu.com/question/2043260341555913882,0,0
16,美以袭击伊朗进入第 90 天，当前局势如何？哪些信息值得关注？,,158 万热度,https://www.zhihu.com/question/2043104464907629617,0,0
17,《巫师 3：狂猎》全新资料片「旧时曲」正式公开，将于 2027 年发售，对此你有什么期待？,,158 万热度,https://www.zhihu.com/question/2043016780742972180,0,0
18,《妻旅》孙杨表现被吐槽，张豆豆一直哄着他，如何看待他们的相处模式？张豆豆的「忍耐」维系其婚姻的关键吗？,,150 万热度,https://www.zhihu.com/question/2033203767886267877,0,0
19,高考押题是智商税吗?,,137 万热度,https://www.zhihu.com/question/533875462,0,0
20,杭州非法代孕窝点称能选胎儿性别，女子十万移植失败又添新病，官方已立案调查，为何代孕屡禁不止？,,134 万热度,https://www.zhihu.com/question/2043052117854613747,0,0
21,不懂就问，华为为什么要公布韬定律，公开了那不是西方厂商也可以叠加做了？,,132 万热度,https://www.zhihu.com/question/2042868544048779888,0,0
22,广东 2026 年高三 9 月 1 日开学，比往年惯例延迟一个月，引家长担忧，怎样看待这一调整？会影响高考备考吗？,,130 万热度,https://www.zhihu.com/question/2042928866512065813,0,0
23,《三体》中罗辑为什么对程心当执剑人没意见？,,124 万热度,https://www.zhihu.com/question/645181520,0,0
24,如何看待米哈游一次性曝光 8 款预研新游？,,122 万热度,https://www.zhihu.com/question/2043063922463332231,0,0
25,广州市属国企试点收购二手房，楼龄不限，全面放开商转公组合贷，哪些信息值得关注？,,121 万热度,https://www.zhihu.com/question/2042639364870627474,0,0
26,如何看待曾卓君《街霸 6》夺冠斩获 EWC 入场门票后发声「强者不靠馈赠，EWC！你们的王回来了」？,,121 万热度,https://www.zhihu.com/question/2042248304927273782,0,0
27,男子钓鱼捞起一溺水婴儿，目前孩子已平安从医院回到家，如何避免这种情况的发生？,,109 万热度,https://www.zhihu.com/question/2042012458961695411,0,0
28,为什么说喜马拉雅山脉就像一个巨大的空调，中国在室内外机在印度？有科学依据吗？,,98 万热度,https://www.zhihu.com/question/2042963003981526641,0,0
29,核电站搞出新副业，竟然是「产珍珠」，核电站为什么会产珍珠？产出的珍珠会不会有辐射？,,92 万热度,https://www.zhihu.com/question/1958488733130126541,0,0
30,谢苗高口碑动作大片《火遮眼》内地正式定档 6 月 11 日上映，早于北美一天，对此你有何期待？,,89 万热度,https://www.zhihu.com/question/2042908879680272108,0,0
31,如何看待「功能性训练」越来越受追捧，传统健美技术过时了吗？,,86 万热度,https://www.zhihu.com/question/1970811077018248483,0,0
32,最近外网 LoL 视频「芮尔先手开团，斯莫德拒绝跟输出导致芮尔阵亡」引发讨论，这波到底是谁的问题？,,77 万热度,https://www.zhihu.com/question/2042969044114990453,0,0
33,为什么但凡商业价值比较高的体育项目（例如足球、 F1) 我国都不大擅长？,,77 万热度,https://www.zhihu.com/question/1931306804442301882,0,0
34,为什么福岛正则、加藤清正等人在关原合战中为德川家效力？,,68 万热度,https://www.zhihu.com/question/36243322,0,0
35,如果英雄联盟新增一个英雄，大招效果是「5 秒后，自身即死，对方全体英雄回到泉水新生」，这个英雄有多强？,,67 万热度,https://www.zhihu.com/question/12655553673,0,0
36,怎么才能把和孩子的关系做的更好？,,65 万热度,https://www.zhihu.com/question/2040781847634962111,0,0
37,二战中有没有什么好笑的事情？,,65 万热度,https://www.zhihu.com/question/361506962,0,0
38,有没有哪个城市级博物馆比省博更值得一去的？,,64 万热度,https://www.zhihu.com/question/2039647144752231442,0,0
39,如果把一个天天高强度健身的肌肉男送到乡下插秧三天，他会累得爬不起来吗？,,64 万热度,https://www.zhihu.com/question/2042350863096832511,0,0
40,为什么美国很多行业的巨头都叫「通用 (General)」，如通用电气、通用汽车、通用磨坊等，它们之间有无什么关系，或者渊源?,,63 万热度,https://www.zhihu.com/question/20205304,0,0
41,为什么要研究矩阵的特征值和特征向量？,,63 万热度,https://www.zhihu.com/question/416604646,0,0
42,鸡蛋家常的做法都有哪些呢？,,63 万热度,https://www.zhihu.com/question/667505792,0,0
43,有没有适合数学系学生读的物理教材？,,62 万热度,https://www.zhihu.com/question/6304027671,0,0
44,为什么现在豪门俱乐部抛弃了双前锋打法?,,61 万热度,https://www.zhihu.com/question/1948363890263061392,0,0
45,看到闲鱼集市上出现各种员工内购的货源，这是啥情况?,,61 万热度,https://www.zhihu.com/question/2042758934994346173,0,0
46,普通人平时可以做什么提升自己？,,61 万热度,https://www.zhihu.com/question/270236506,0,0
47,「三体公司」原 CEO 许垚被执行死刑，此案有何警示意义？,,59 万热度,https://www.zhihu.com/question/2042569646591803528,0,0
48,《原神》里的水神，为什么那么确定那维莱特会赦免人类的罪孽？,,59 万热度,https://www.zhihu.com/question/629940035,0,0
49,你吃过最奢侈的一道菜是什么？,,59 万热度,https://www.zhihu.com/question/284676187,0,0
50,为何说银河系的中央是巨大的黑洞？,,59 万热度,https://www.zhihu.com/question/25663240,0,0
